,DOW,INBOUND_FLIGHTS,OUTBOUND_FLIGHTS,DAILY_DELAY_LENGTH,DAILY_DELAY_COST,PROFIT
244,Wendsday,1111.0,1110.0,3458.0,100762.15,5675110.85
245,Thursday,1084.0,1112.0,22588.0,360273.08999999997,5710712.69
246,Friday,1114.0,1115.0,13799.0,314950.7,5801966.55
247,Saturday,779.0,774.0,3223.0,90743.95000000001,4016950.01
248,Sunday,843.0,847.0,2135.0,75702.5,4371180.83
249,Monday,1034.0,1041.0,3013.0,92696.65000000001,5369712.44
250,Tuesday,1044.0,1040.0,4518.0,100224.45000000001,5359128.05
251,Wendsday,965.0,966.0,2952.0,73212.1,4960352.84
252,Thursday,992.0,1026.0,36930.0,463525.7,5184217.239999999
253,Friday,1041.0,1045.0,5184.0,122439.95000000001,5373080.9
254,Saturday,783.0,776.0,2859.0,84390.6,3985353.44
255,Sunday,1068.0,1074.0,3176.0,96955.8,5540947.859999999
256,Monday,1111.0,1112.0,3297.0,96927.5,5740158.779999999
257,Tuesday,1101.0,1099.0,2665.0,84737.12000000001,5661673.49
258,Wendsday,1106.0,1107.0,2684.0,99389.6,5719527.129999999
259,Thursday,1113.0,1114.0,3891.0,115732.85,5753700.709999999
260,Friday,1112.0,1110.0,4731.0,117812.9,5731498.6
261,Saturday,849.0,846.0,4572.0,109521.0,4375736.939999999
262,Sunday,1075.0,1080.0,4104.0,128439.54999999999,5616693.949999999
263,Monday,1116.0,1114.0,3153.0,81235.15,5734202.009999999
264,Tuesday,1101.0,1103.0,3438.0,91394.85,5669534.419999999
265,Wendsday,1109.0,1108.0,2275.0,68019.05,5695118.569999999
266,Thursday,1115.0,1117.0,3608.0,110186.05,5762474.279999999
267,Friday,1113.0,1111.0,7444.0,216636.5,5804003.390000001
268,Saturday,852.0,848.0,3988.0,120133.5,4352050.22
269,Sunday,1071.0,1076.0,4977.0,143820.6,5544683.84
270,Monday,1115.0,1115.0,7051.0,185768.22999999998,5747170.72
271,Tuesday,1099.0,1101.0,6390.0,163814.55,5628187.739999999
272,Wendsday,1102.0,1104.0,4620.0,138910.55000000002,5717955.909999999
273,Thursday,,,0.0,0.0,
274,Friday,,,0.0,0.0,
275,Saturday,,,0.0,0.0,
276,Sunday,,,0.0,0.0,
277,Monday,,,0.0,0.0,
278,Tuesday,,,0.0,0.0,
279,Wendsday,,,0.0,0.0,
280,Thursday,,,0.0,0.0,
281,Friday,,,0.0,0.0,
282,Saturday,,,0.0,0.0,
283,Sunday,,,0.0,0.0,
284,Monday,,,0.0,0.0,
285,Tuesday,,,0.0,0.0,
286,Wendsday,,,0.0,0.0,
287,Thursday,,,0.0,0.0,
288,Friday,,,0.0,0.0,
289,Saturday,,,0.0,0.0,
290,Sunday,,,0.0,0.0,
291,Monday,,,0.0,0.0,
292,Tuesday,,,0.0,0.0,
293,Wendsday,,,0.0,0.0,
294,Thursday,,,0.0,0.0,
295,Friday,,,0.0,0.0,
296,Saturday,,,0.0,0.0,
297,Sunday,,,0.0,0.0,
298,Monday,,,0.0,0.0,
299,Tuesday,,,0.0,0.0,
300,Wendsday,,,0.0,0.0,
301,Thursday,,,0.0,0.0,
302,Friday,,,0.0,0.0,
303,Saturday,,,0.0,0.0,
304,Sunday,1051.0,1060.0,10718.0,286537.5,5585178.099999999
305,Monday,1107.0,1105.0,14151.0,328478.1,5788946.649999999
306,Tuesday,1052.0,1051.0,4954.0,112577.40000000001,5410027.69
307,Wendsday,1095.0,1098.0,4082.0,121180.6,5648832.02
308,Thursday,1101.0,1103.0,12555.0,304225.0,5684151.37
309,Friday,1098.0,1097.0,8281.0,229994.1,5736816.529999999
310,Saturday,824.0,816.0,2370.0,79763.55000000002,4214718.39
311,Sunday,1052.0,1061.0,8865.0,253964.2,5507041.989999999
312,Monday,1104.0,1104.0,10070.0,246153.24000000005,5713357.32
313,Tuesday,1097.0,1094.0,5147.0,167323.75,5691069.01
314,Wendsday,1091.0,1095.0,4862.0,127845.25,5653288.7
315,Thursday,1102.0,1101.0,5570.0,152409.65,5683910.44
316,Friday,1104.0,1105.0,3383.0,87064.95000000001,5684392.3
317,Saturday,820.0,811.0,1560.0,55100.100000000006,4161018.19
318,Sunday,1052.0,1061.0,3418.0,100167.85,5481274.84
319,Monday,1103.0,1101.0,4591.0,146226.1,5692725.89
320,Tuesday,1096.0,1094.0,7099.0,185195.2,5629813.659999999
321,Wendsday,1064.0,1081.0,31668.0,550208.6000000001,5494197.59
322,Thursday,1101.0,1104.0,5848.0,152225.69999999998,5741911.86
323,Friday,1099.0,1100.0,6892.0,206123.05000000002,5736831.25
324,Saturday,821.0,812.0,7123.0,163050.45,4157240.329999999
325,Sunday,914.0,916.0,4821.0,127406.59999999999,4747046.24
326,Monday,954.0,959.0,2328.0,60335.600000000006,4918722.21
327,Tuesday,1039.0,1040.0,5048.0,156088.65,5425859.449999999
328,Wendsday,1097.0,1099.0,3064.0,91847.65000000001,5644459.859999999
329,Thursday,658.0,647.0,1755.0,53020.05,3330282.9799999995
330,Friday,808.0,820.0,2600.0,87574.35,4225586.35
331,Saturday,1046.0,1045.0,4097.0,128934.79999999999,5428138.55
332,Sunday,1163.0,1167.0,5605.0,166587.15000000002,6046022.279999999
